artist,project
Merrell Gage,South Pasadena High School: Gage Bas Reliefs; South Pasadena
Ada May Sharpless,Echo Park Statue; Los Angeles
Rudolph Parducci,Post Office Relief; Gardena
Philip Guston,City of Hope: Guston & Kadish Mural; Duarte
Olinka Hrdy,Santa Monica High School: Hrdy Bas Relief; Santa Monica
Bessie Pierce Heller,Virgil Middle School Mural; Los Angeles
Ross Dickinson,Thomas Jefferson High School Mural; Los Angeles
Dorr Bothwell,Hollenbeck Middle School Mural; Los Angeles
Arthur Leitner,Bob Hope Patriotic Hall Murals; Los Angeles
Ivan Bartlett,Polytechnic High School Mural; Long Beach
Suzanne Miller,Billie Jean King Main Library Murals; Long Beach
Jesse M. Lynch,Jane Addams Elementary School Fresco; Long Beach
Rex Sorensen,Fairfax High School Sculptures (former); Los Angeles
Harold Swartz,John Marshall High School: Swartz Sculpture; Los Angeles
Stuart Holmes,Post Office (former) Sculpture (relocated); Bell
Blanche Taylor,Edison Middle School: Feitelson Mural; Los Angeles
Tyrone Comfort,John Marshall High School: Comfort Murals; Los Angeles
James Redmond,Phineas Banning High School: Redmond Mural; Wilmington
James Redmond,Thomas Starr King Middle School: Redmond Mural; Los Angeles
Ross Dickinson,George Washington Preparatory High School: Dickinson Murals; Los Angeles
Adrien Machefert,Ninth Street Elementary School Mural; Los Angeles
Haldane Douglas,Hollywood High School: Douglas Mural; Los Angeles
Fletcher Martin,North Hollywood High School Mural; North Hollywood
Gordon Newell,Post Office Bas-Reliefs (Exterior); Inglewood
P. G. Napolitano,John Marshall High School: Napolitano Murals; Los Angeles
P. G. Napolitano,Thomas Starr King Middle School: Napolitano Murals; Los Angeles
Barse Miller,George Washington Preparatory High School: Miller Frescoes (destroyed); Los Angeles
Emery Gellert,Jordan High School: Gellert Portrait; Los Angeles
Stanley Spohn,Belmont High School: Spohn Mosaic; Los Angeles
Ross Dickinson,Thomas Starr King Middle School: Dickinson Mosaics; Los Angeles
Stanton Macdonald-Wright,University High School Charter Mosaics; Los Angeles
Eugenia Everett,Fries Avenue Elementary School Sculpture; Wilmington
Jason Herron,Belmont High School: Herron Sculpture; Los Angeles
Henry Lion,Power of Water Fountain; Los Angeles
Roger Noble Burnham,Phineas Banning High School: Burnham Sculpture; Wilmington
David Edstrom,Lincoln Park Sculpture; Los Angeles
Archibald Garner,Glendale Community College Sculpture (lost); Glendale
Jason Herron,South Pasadena High School: Herron Sculpture; South Pasadena
Edward Biberman,U.S. Courthouse: Biberman Painting; Los Angeles
Conrad Buff,Santa Monica High School: Buff Mural; Santa Monica
Charles Kassler,Post Office (former) Murals; Beverly Hills
Grace Clements,Santa Monica High School: Clements Mosaic; Santa Monica
George Stanley,Hollywood Bowl Sculpture; Los Angeles
Caspar Duchow,East Whittier Middle School Mosaics; Whittier
Suzanne Miller,South Gate Community Center Murals; South Gate
Adrien Machefert,Dana Middle School Murals; San Pedro
Lucien Labaudt,U.S. Courthouse: Labaudt Paintings; Los Angeles
Stanton Macdonald-Wright,Thomas Edison Middle School Mosaic; Los Angeles
Sherry Peticolas,Hollywood Station Post Office Relief; Los Angeles
Jean Swiggett,Post Office Mural; Huntington Park
Sherry Peticolas,Post Office Bas Reliefs; San Fernando
James Redmond,Post Office Mural; Compton
Frank Bowers,City Hall Murals; South Gate
Don Smith,El Rodeo Elementary School Mural; Beverly Hills
Grace Clements,Plaza Mosaic; Long Beach
Helen Lundeberg,Venice High School Murals; Los Angeles
Leo Katz,Frank Wiggins Trade School Mural (lost); Los Angeles
Henry Hibbard,Main Library Macdonald-Wright Mural Cycle; Santa Monica
Dorr Bothwell,Lindbergh STEM Academy Mural; Long Beach
Djey el Djey,Griffith Park: Astronomers Monument; Los Angeles
Frank Bowers,Ruth Home Mural (former); El Monte
Jean Swiggett,Post Office Murals; Redondo Beach
Milford Zornes,Post Office Mural; Claremont
Helen Lundeberg,George Washington Preparatory High School: Lundeberg Mural; Los Angeles
Reuben Kadish,City of Hope: Guston & Kadish Mural; Duarte
Grace Measham,Virgil Middle School Mural; Los Angeles
Helen Lundeberg,Bob Hope Patriotic Hall Murals; Los Angeles
Jean Swiggett,Polytechnic High School Mural; Long Beach
Suzanne Miller,Jane Addams Elementary School Fresco; Long Beach
Helen Lundeberg,Edison Middle School: Feitelson Mural; Los Angeles
Sherry Peticolas,Post Office Bas-Reliefs (Exterior); Inglewood
Jason Herron,Power of Water Fountain; Los Angeles
James Haggart,Dana Middle School Murals; San Pedro
Norman Chamberlain,Post Office Mural; Huntington Park
Hugo Ballin,El Rodeo Elementary School Mural; Beverly Hills
Henry Nord,Plaza Mosaic; Long Beach
Tyrone Comfort,Frank Wiggins Trade School Mural (lost); Los Angeles
Stanton Macdonald-Wright,Main Library Macdonald-Wright Mural Cycle; Santa Monica
Elizabeth Mills,Lindbergh STEM Academy Mural; Long Beach
George Stanley,Griffith Park: Astronomers Monument; Los Angeles
Paul Sample,Post Office Murals; Redondo Beach
Wilbur Broderick,Jane Addams Elementary School Fresco; Long Beach
Lorser Feitelson,Edison Middle School: Feitelson Mural; Los Angeles
Sherry Peticolas,Power of Water Fountain; Los Angeles
Joseph Sena,Dana Middle School Murals; San Pedro
Robert Woolsley,El Rodeo Elementary School Mural; Beverly Hills
Stanton Macdonald-Wright,Plaza Mosaic; Long Beach
Jean Goodwin,Lindbergh STEM Academy Mural; Long Beach
Gordon Newell,Griffith Park: Astronomers Monument; Los Angeles
Mary Stanfield,Lindbergh STEM Academy Mural; Long Beach
L. Archibald Garner,Griffith Park: Astronomers Monument; Los Angeles
Serena Swanson,Lindbergh STEM Academy Mural; Long Beach
Roger Noble Burnham,Griffith Park: Astronomers Monument; Los Angeles
